Id,SalePrice
1461,131214.69
1462,166729.73
1463,181289.98
1464,196587.73
1465,180059.22
1466,172721.31
1467,169970.36
1468,169989.6
1469,168452.92
1470,127432.12
1471,190152.75
1472,94647.63
1473,100224.93
1474,154375.67
1475,113390.62
1476,411604.66
1477,255622.84
1478,289503.1
1479,279753.84
1480,571019.8
1481,312664.84
1482,194028.2
1483,181745.94
1484,169313.27
1485,168669.48
1486,194157.84
1487,326094.0
1488,227244.31
1489,206764.38
1490,257097.25
1491,196152.78
1492,85229.93
1493,181444.02
1494,313482.47
1495,273416.4
1496,252377.0
1497,189959.02
1498,160345.34
1499,155891.0
1500,157670.39
1501,180853.89
1502,153227.0
1503,304249.84
1504,232142.33
1505,221737.7
1506,190664.12
1507,252781.02
1508,203778.38
1509,155888.55
1510,146789.56
1511,146844.56
1512,180778.56
1513,149075.86
1514,159948.61
1515,199556.55
1516,160747.3
1517,169019.12
1518,134366.38
1519,237628.9
1520,134650.8
1521,140644.1
1522,173929.39
1523,113705.26
1524,123059.6
1525,119181.33
1526,102725.28
1527,104649.914
1528,129749.695
1529,151331.28
1530,172806.5
1531,105328.93
1532,92544.82
1533,154258.06
1534,115692.87
1535,159859.38
1536,102321.41
1537,92064.42
1538,153645.2
1539,203799.16
1540,114942.79
1541,145000.66
1542,132443.72
1543,209710.6
1544,78590.445
1545,109483.445
1546,126386.49
1547,138097.03
1548,138529.73
1549,108127.21
1550,137481.06
1551,94223.51
1552,148345.81
1553,154061.42
1554,112987.34
1555,174871.42
1556,93444.23
1557,111727.95
1558,91595.31
1559,97894.43
1560,123119.234
1561,155373.11
1562,127562.1
1563,116931.75
1564,165065.14
1565,147018.3
1566,255865.2
1567,75080.13
1568,241197.1
1569,167904.89
1570,140623.88
1571,122755.164
1572,152080.58
1573,255840.5
1574,127235.08
1575,240221.28
1576,265523.5
1577,195142.25
1578,141571.08
1579,155854.16
1580,193175.62
1581,148144.62
1582,127235.6
1583,312705.6
1584,236144.72
1585,139191.69
1586,69955.18
1587,92503.53
1588,151624.55
1589,98659.08
1590,126712.87
1591,86511.695
1592,115802.78
1593,123331.07
1594,131456.1
1595,125825.88
1596,248070.4
1597,191294.05
1598,218915.39
1599,165478.6
1600,168857.12
1601,77103.94
1602,114789.72
1603,74747.266
1604,267450.38
1605,256416.23
1606,169451.52
1607,167092.78
1608,210247.33
1609,190901.92
1610,159486.73
1611,135928.2
1612,179956.25
1613,172045.97
1614,125361.14
1615,92213.805
1616,79387.44
1617,94368.71
1618,118848.69
1619,144815.48
1620,180741.58
1621,143589.53
1622,147502.53
1623,285007.56
1624,214636.08
1625,108677.55
1626,154263.81
1627,189333.2
1628,281170.8
1629,182506.75
1630,400856.78
1631,223371.66
1632,235108.45
1633,167906.75
1634,185626.42
1635,177578.9
1636,152071.22
1637,211293.44
1638,186185.11
1639,174693.9
1640,259513.45
1641,178137.45
1642,239550.08
1643,221650.19
1644,226432.23
1645,196299.67
1646,163213.28
1647,156735.5
1648,133039.73
1649,148135.45
1650,106950.53
1651,119721.086
1652,95755.62
1653,92876.74
1654,148217.84
1655,139763.7
1656,147240.47
1657,150270.6
1658,145344.81
1659,118900.63
1660,153492.11
1661,513934.8
1662,403612.53
1663,399771.97
1664,524569.0
1665,325616.72
1666,357098.7
1667,395330.6
1668,316648.3
1669,287244.22
1670,341946.1
1671,267648.7
1672,543339.06
1673,297957.78
1674,251563.94
1675,189336.39
1676,197535.08
1677,212619.34
1678,534239.6
1679,428922.8
1680,318538.88
1681,226442.36
1682,314367.12
1683,176912.38
1684,166545.22
1685,172003.44
1686,165518.25
1687,162587.83
1688,185221.83
1689,187694.23
1690,190147.55
1691,177857.2
1692,264283.44
1693,167712.2
1694,177597.86
1695,161552.42
1696,287843.88
1697,169998.5
1698,367859.16
1699,315597.9
1700,249966.84
1701,258603.98
1702,242232.56
1703,246195.69
1704,286948.5
1705,230020.52
1706,504272.28
1707,217883.19
1708,206244.38
1709,244054.3
1710,218080.08
1711,262330.78
1712,255806.66
1713,285183.34
1714,222137.45
1715,210351.25
1716,197213.25
1717,164947.7
1718,133270.39
1719,197250.83
1720,239053.44
1721,164240.44
1722,124123.24
1723,163313.31
1724,194191.42
1725,242074.5
1726,188255.14
1727,154854.19
1728,183399.62
1729,176771.34
1730,165081.89
1731,117176.57
1732,129372.85
1733,117909.94
1734,126553.95
1735,131953.12
1736,107335.38
1737,321679.7
1738,221524.86
1739,297184.06
1740,234159.95
1741,197494.14
1742,179525.16
1743,171400.4
1744,288838.22
1745,215342.23
1746,177080.36
1747,224131.53
1748,240831.69
1749,151655.78
1750,123379.57
1751,226804.39
1752,108310.44
1753,153691.47
1754,177397.64
1755,177639.53
1756,123549.61
1757,118874.13
1758,153331.56
1759,143694.77
1760,162739.38
1761,137073.08
1762,181569.52
1763,184181.48
1764,110551.76
1765,187633.39
1766,172958.84
1767,211765.7
1768,148982.83
1769,176851.11
1770,154469.64
1771,126726.84
1772,132647.12
1773,135338.17
1774,115868.484
1775,137160.28
1776,121319.44
1777,112432.56
1778,136293.92
1779,119894.78
1780,180953.11
1781,130318.47
1782,93153.484
